ID,Clinic Name,Clinic URL,Telephone Number,Fax Number,Address,Opening Hours
647,CARE IVF PTE. LTD.,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48088,66596638,66596639,"8 SINARAN DRIVE, NOVENA SPECIALIST CENTER, #05-05 SINGAPORE 307470",
648,CARE MEDICAL PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4550,63872272,63872272,"BLK 683 HOUGANG AVE 8, #01-931 SINGAPORE 530683","Monday and Tuesday : 08:30 am to 12:00 pm, 02:00 pm to 04:00 pm, 06:30 pm to 08:30 pm | Wednesday and Friday : 08:30 am to 12:00 pm, 02:00 pm to 03:30 pm | Thursday : 08:30 am to 12:00 pm, 02:00 pm to 04:00 pm, 06:30 pm to 08:30 pm | Saturday and Sunday : 09:00 am to 12:00 pm"
649,CARE SINUS SNORING ENT CENTRE (ASCENT GROUP),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=39590,64722220,64736436,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #03-12 SINGAPORE 258499",Monday to Wednesday : 09:00 am to 05:00 pm | Thursday : 09:00 am to 01:00 pm | Friday : 09:00 am to 05:00 pm | Saturday : 09:00 am to 01:00 pm
650,CAREDOC MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47765,65184771,,"BLK 215 ANG MO KIO AVENUE 1, #01-907 SINGAPORE 560215","Monday to Friday : 08:30 am to 01:00 pm, 02:00 pm to 05:00 pm, 06:00 pm to 09:00 pm | Saturday : 08:30 am to 01:00 pm"
651,CARELINK FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4560,62545287,62545278,"400 BALESTIER ROAD, BALESTIER PLAZA, #01-08 SINGAPORE 329802","Monday to Friday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm | Saturday : 08:30 am to 12:00 pm | Sunday : 08:30 am to 12:00 pm"
652,CARELITE MEDICAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48426,62612410,66127425,"BLK 18 BEDOK SOUTH ROAD, #01-67 SINGAPORE 460018",
653,CARELITE MEDICAL CLINIC (DOVER MEDICAL CENTRE),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48598,67756266,,"1 FUSIONOPOLIS WAY, CONNEXIS, #03-05 SINGAPORE 138632",
654,CAREWAY DENTAL SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4570,67865108,67865108,"BLK 505 TAMPINES CENTRAL 1, #01-339 SINGAPORE 520505","Monday to Friday : 09:30 am to 12:30 pm, 02:00 pm to 05:00 pm | Saturday : 09:30 am to 02:30 pm"
655,CARING COMMUNITY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4580,62938757,62911412,"90 RACE COURSE ROAD, SINGAPORE 218577",Sunday : 04:00 pm to 06:00 pm
656,CARING DENTAL ANCHORVALE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48515,00000000,,"BLK 326A ANCHORVALE ROAD, ANCHORVALE HORIZON, #01-258 SINGAPORE 541326",
657,CARING DENTAL PUNGGOL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45119,64816833,64818933,"BLK 665A PUNGGOL DRIVE, #01-02 SINGAPORE 821665",
658,CARING DENTAL SENGKANG,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45518,66346689,,"BLK 473A FERNVALE STREET, #01-01 SINGAPORE 791473",
659,CARING FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41910,65645677,65692776,"BLK 501 JURONG WEST STREET 51, #01-271 SINGAPORE 640501","Eve of Lunar New Year (04/02/2019) : 08:30 am to 11:00 am | Monday to Friday : 08:30 am to 12:00 pm, 01:00 pm to 05:00 pm | Saturday : 08:30 am to 01:00 pm"
660,CARITAS CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4590,67489284,67421955,"BLK 304 UBI AVE 1, #01-127 SINGAPORE 400304","Public Holiday : Closed | Eve of Chinese New Year (21/01/2023) : Closed | Chinese New Year (CNY Day 1) (22/01/2023) : Closed | Chinese New Year (CNY Day 2) (23/01/2023) : Closed | Chinese New Year (CNY Day 3) (24/01/2023) : Closed | Monday to Wednesday : 08:30 am to 12:30 pm, 02:00 pm to 04:00 pm, 06:00 pm to 07:30 pm | Thursday : 08:30 am to 12:00 pm, 02:00 pm to 04:00 pm | Friday : 08:30 am to 12:00 am, 02:00 pm to 04:00 pm | Saturday : 09:30 am to 12:00 am | Sunday : 09:45 am to 12:00 am"
661,CASA DENTAL,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45165,63346984,64523116,"420A CLEMENTI AVENUE 1, #01-02 SINGAPORE 121420",
662,CASA DENTAL (AMK),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44753,64580667,63346823,"BLK 710 ANG MO KIO AVENUE 8, #01-2611 SINGAPORE 560710","Public Holiday : Closed | Monday to Friday : 10:00 am to 01:00 pm, 02:00 pm to 08:30 pm | Saturday and Sunday : 10:00 am to 01:00 pm, 02:00 pm to 05:30 pm"
663,CASA DENTAL (HOLLAND),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45302,68730451,68730452,"45 HOLLAND DRIVE, #01-353 SINGAPORE 270045",
664,CASA DENTAL ADMIRALTY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46913,65137890,68730452,"693 WOODLANDS AVENUE 6, #01-05 SINGAPORE 730693",
665,CASA DENTAL BUKIT BATOK,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47586,69700986,69708404,"4 BUKIT BATOK STREET 41, LE QUEST, #01-97/98 SINGAPORE 657991",
666,CASHEW MEDICAL & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4620,67634255,67630802,"BLK 445 FAJAR RD, FAJAR SHOPPING CENTRE, #02-522 SINGAPORE 670445","Public Holiday to Public Holiday : Closed | Eve of Chinese New Year (24/01/2020) : 08:00 am to 12:30 pm | Monday to Friday : 08:00 am to 12:30 pm, 01:30 pm to 04:00 pm, 06:30 pm to 09:00 pm | Saturday : 08:00 am to 12:30 pm, 06:30 pm to 09:00 pm | Sunday : 08:00 am to 12:30 pm"
667,CASSIA CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4630,63464260,63464261,"34 CASSIA CRESCENT, #01-76 SINGAPORE 390034","Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:00 pm | Monday to Friday : 09:00 am to 12:30 pm, 02:00 pm to 04:00 pm | Saturday : 09:00 am to 12:30 pm"
668,CAVENAGH MEDICAL CLINIC AND HOME CARE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48312,AVENAGH MEDICAL CLINIC AND HOME CARE,88318316,"559 BUKIT TIMAH ROAD, KING'S ARCADE, #01-01 SINGAPORE 269695",
669,CCK FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=43300,68910338,68910983,"BLK 304 CHOA CHU KANG AVE 4, #01-653 SINGAPORE 680304",Monday to Sunday : 07:00 am to 11:00 pm
670,CECILIA FAMILY CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41021,67883812,67848678,"BLK 484 TAMPINES STREET 43, #01-224 SINGAPORE 520484","Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:00 pm | Monday to Friday : 08:30 am to 12:30 pm, 02:00 pm to 04:30 pm | Saturday : 08:30 am to 12:00 pm"
671,CELEVENUS WELLNESS AND AESTHETIC CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41640,64109621,64109623,"391B ORCHARD ROAD, NGEE ANN CITY TOWER B, #16-03/04 SINGAPORE 238874",Monday to Saturday : 10:00 am to 09:30 pm
672,CENTRAL 24-HR CLINIC ( PIONEER NORTH ),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46347,62512775,63436528,"BLK 959 JURONG WEST STREET 92, #01-160 SINGAPORE 640959",24 Hour
673,CENTRAL 24-HR CLINIC (BEDOK),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=34980,62476122,62476123,"219 BEDOK CENTRAL, MULTI STOREY CAR PARK, #01-124 SINGAPORE 460219",24 Hour
674,CENTRAL 24-HR CLINIC (CLEMENTI),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36923,67732925,67732927,"BLK 450 CLEMENTI AVE 3, #01-291 SINGAPORE 120450",24 Hour
675,CENTRAL 24-HR CLINIC (HOUGANG),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4690,63876965,63868052,"BLK 681 HOUGANG AVE 8, #01-829 SINGAPORE 530681",24 Hour
676,CENTRAL 24-HR CLINIC (MARSILING),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46580,63652908,63436528,"BLK 303 WOODLANDS STREET 31, #01-185 SINGAPORE 730303",24 Hour
677,CENTRAL 24-HR CLINIC (PASIR RIS),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36441,65822640,65825045,"BLK 446 PASIR RIS DRIVE 6, #01-122 SINGAPORE 510446",24 Hour
678,CENTRAL 24-HR CLINIC (TAMPINES),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46897,69687001,63436528,"BLK 201D TAMPINES STREET 21, #01-1151 SINGAPORE 524201",24 Hour
679,CENTRAL 24-HR CLINIC (WOODLANDS),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37100,63654895,63621895,"BLK 768 WOODLANDS AVENUE 6, WOODLANDS MART, #02-06A SINGAPORE 730768",24 Hour
680,CENTRAL 24-HR CLINIC (YISHUN),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4710,67597985,67597984,"701A YISHUN AVE 5, #01-04 SINGAPORE 761701",24 Hour
681,CENTRAL 24HR CLINIC (JURONG WEST),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44602,65657484,65657784,"BLK 492 JURONG WEST STREET 41, #01-54 SINGAPORE 640492",24 Hour
682,CENTRAL DIVISION CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46338,0000000,63231409,"391 NEW BRIDGE ROAD, POLICE CANTONMENT COMPLEX, SINGAPORE 088762",24 Hour
683,CENTRAL MEDICAL GROUP PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41083,62722212,62753235,"BLK 11 JALAN BUKIT MERAH, #01-4442 SINGAPORE 150011","Eve of Chinese New Year (15/02/2018) : 09:00 am to 12:30 pm | Chinese New Year (16/02/2018) : Closed | Chinese New Year (17/02/2018) : Closed | Chinese New Year (18/02/2018) : Closed | Monday to Friday : 09:00 am to 12:30 pm, 02:30 pm to 04:30 pm, 07:00 pm to 08:30 pm | Saturday and Sunday : 09:00 am to 12:30 pm"
684,CENTRAL PATIENTCARE DENTAL CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47570,67567737,,"BLK 935 YISHUN CENTRAL 1, #01-47 SINGAPORE 760935",
685,CENTRAL [ CLINIC + SURGERY ] MARINE PARADE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=48195,63466277,63467885,"BLK 81 MARINE PARADE CENTRAL, MARINE PARADE PROMENADE, #01-630 SINGAPORE 440081",Public Holiday : 08:00 am to 06:00 pm | Monday and Saturday : 08:00 am to 06:00 pm | Sunday : 08:00 am to 01:00 pm
686,CENTRE FOR ADVANCED ORTHOPAEDICS,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=32700,67345546,67345586,"3 MOUNT ELIZABETH, MOUNT ELIZABETH HOSPITAL, #03-10 SINGAPORE 228510",
687,CENTRE FOR CARDIOTHORACIC SURGERY @ NOVENA,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44890,64722102,64720221,"38 IRRAWADDY ROAD, MT ELIZABETH NOVENA SPECIALIST CENTRE, #10-32 SINGAPORE 329563",Monday to Friday : 08:30 am to 05:30 pm | Saturday to Saturday : 08:30 am to 12:30 pm
688,CENTRE FOR CLINICAL HAEMATOLOGY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46909,62568836,62568805,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #09-47/48/57 SINGAPORE 329563",Monday to Friday : 08:30 am to 05:30 pm | Saturday : 08:30 am to 12:30 pm | Sunday and Public Holiday : Closed
689,CENTRE FOR CLINICAL HAEMATOLOGY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47169,62613898,65,"6A NAPIER ROAD, ANNEXE BLOCK GLENEAGLES HOSPITAL, #02-39/40 SINGAPORE 258500",Monday to Friday : 08:30 am to 05:30 pm | Saturday : 08:30 am to 12:30 pm | Sunday and Public Holiday : Closed
690,CENTRE FOR EAR NOSE THROAT ALLERGY & SNORING,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=38600,65860988,64911248,"3 MOUNT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #16-11 SINGAPORE 228510","Monday to Friday : 08:30 am to 12:30 pm, 02:00 pm to 05:00 pm"
691,CENTRE FOR FOOT AND ANKLE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44922,66845828,66845829,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #10-33/34/35 SINGAPORE 329563",
692,CENTRE FOR FOOT AND ANKLE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44926,96920952,63482606,"319 JOO CHIAT PLACE, PARKWAY EAST MEDICAL CENTRE, #05-06/07 SINGAPORE 427989","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed"
693,CENTRE FOR FOOT AND ANKLE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47148,66845828,67382629,"1 FARRER PARK STATION ROAD, CONNEXION, #15-06/07 SINGAPORE 217562",
694,CENTRE FOR HAND AND RECONSTRUCTIVE MICROSURGERY (EAST) PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44408,67338273,68366927,"3 MOUNT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #06-05 SINGAPORE 228510",Monday to Friday : 09:00 am to 06:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday to Public Holiday : Closed
695,CENTRE FOR HAND AND RECONSTRUCTIVE MICROSURGERY (NOVENA),https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46819,62599052,62599159,"101 IRRAWADDY ROAD, ROYAL SQUARE AT NOVENA, #10-08 SINGAPORE 329565",
696,CENTRE FOR HAND AND RECONSTRUCTIVE MICROSURGERY (ORCHARD) PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=46669,67339093,67337889,"290 ORCHARD ROAD, PARAGON MEDICAL SUITES, #09-08 SINGAPORE 238859",
697,CENTRE FOR KIDNEY DISEASES,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4850,65358833,67364692,"304 ORCHARD ROAD, LUCKY PLAZA, #05-23 SINGAPORE 238863",Monday to Friday : 09:00 am to 05:00 pm | Saturday to Saturday : 09:00 am to 01:00 pm
698,CENTRE FOR ORTHOPAEDICS AND HIP AND KNEE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37542,96920952,63482606,"319 JOO CHIAT PLACE, PARKWAY EAST MEDICAL CENTRE, #05-06/07 SINGAPORE 427989","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
699,CENTRE FOR ORTHOPAEDICS AND HIP AND KNEE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37920,66845828,67382629,"1 FARRER PARK STATION ROAD, CONNEXION FARRER PARK MEDICAL CENTRE, #15-06/07 SINGAPORE 217562","Public Holiday : Closed | Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:30 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed"
700,CENTRE FOR ORTHOPAEDICS AND HIP AND KNEE SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41974,66845828,66845829,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #10-33/34/35 SINGAPORE 329563","Public Holiday : Closed | Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed"
701,CENTRE FOR SCREENING & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=32180,64757133,64757233,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #05-32 SINGAPORE 329563",Monday to Friday : 09:00 am to 05:30 pm | Saturday : 09:00 am to 12:30 pm | Sunday and Public Holiday : Closed
702,CENTRE FOR SPINE AND ORTHOPAEDIC SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37541,96920952,63482606,"319 JOO CHIAT PLACE, PARKWAY EAST MEDICAL CENTRE, #05-06/07 SINGAPORE 427989","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
703,CENTRE FOR SPINE AND ORTHOPAEDIC SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41976,66845828,66845829,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #10-33/34/35 SINGAPORE 329563","Public Holiday : Closed | Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed"
704,CENTRE FOR SPINE AND ORTHOPAEDIC SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47149,66845828,67382629,"1 FARRER PARK STATION ROAD, CONNEXION FARRER PARK MEDICAL CENTRE, #15-06/07 SINGAPORE 217562",
705,CENTRE FOR SPORTS AND SHOULDER AND ELBOW SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=37543,96920952,63482606,"319 JOO CHIAT PLACE, PARKWAY EAST MEDICAL CENTRE, #05-06/07 SINGAPORE 427989","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed"
706,CENTRE FOR SPORTS AND SHOULDER AND ELBOW SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=41975,66845828,66845829,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #10-33/34/35 SINGAPORE 329563","Public Holiday : Closed | Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed"
707,CENTRE FOR SPORTS AND SHOULDER AND ELBOW SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=45511,67382628,67382629,"1 FARRER PARK STATION ROAD, CONNEXION FARRER PARK MEDICAL CENTRE, #15-06/07 SINGAPORE 217562",
708,"CENTRE FOR UROLOGY, ROBOTIC & MINIMALLY INVASIVE SURGERY",https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44374,67339233,67330313,"3 MOUNT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #06-06 SINGAPORE 228510",
709,CENTURION ORTHOPAEDIC CENTRE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=47097,69705835,69705935,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #07-40 SINGAPORE 329563",24 Hour
710,CEREBRAL PALSY ALLIANCE SINGAPORE,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=25310,65855600,65855603,"65 PASIR RIS DRIVE 1, CEREBRAL PALSY CENTRE, SINGAPORE 519529",
711,CH POH DIGESTIVE & LIVER CLINIC PTE. LTD.,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=44536,66946988,66945510,"38 IRRAWADDY ROAD, MOUNT ELIZABETH NOVENA SPECIALIST CENTRE, #09-46 SINGAPORE 329563",Monday to Friday : 08:30 am to 05:00 pm | Saturday to Saturday : 08:30 am to 01:00 pm
712,CHAI CHEE CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=4980,62441231,62441215,"BLK 25A CHAI CHEE RD, #01-453 SINGAPORE 461025",Public Holiday : Closed | Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:00 pm | Monday to Friday : 09:00 am to 04:00 pm | Saturday and Sunday : 09:00 am to 12:00 pm
713,CHAIM CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5000,62515359,62506632,"BLK 111 TOA PAYOH LOR 1, #01-350 SINGAPORE 310111","Eve of Chinese New Year (24/01/2020) : 09:30 am to 12:30 pm | Monday to Saturday : 09:00 am to 12:30 pm, 02:00 pm to 05:00 pm | Sunday : 09:00 am to 12:30 pm"
714,CHAN CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5020,65658778,65655477,"BLK 153 BT BATOK ST 11, #01-288 SINGAPORE 650153","Eve of Chinese New Year (24/01/2020) : 09:00 am to 12:30 pm | Monday to Sunday : 09:00 am to 12:30 pm, 02:00 pm to 04:30 pm, 07:00 pm to 09:00 pm"
715,CHAN CLINIC FOR CHILDREN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5030,64722868,64726104,"6 NAPIER RD, GLENEAGLES MEDICAL CENTRE, #09-09 SINGAPORE 258499",Monday to Friday : 09:00 am to 05:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday and Public Holiday : Closed
716,CHAN FAMILY CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5060,63454683,63454683,"865 MOUNTBATTEN ROAD, KATONG SHOPPING CENTRE, #02-81H SINGAPORE 437844",Monday to Friday : 09:00 am to 03:30 pm | Saturday : 09:00 am to 12:30 pm
717,CHAN K H CLINIC FOR WOMEN,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5070,64743228,64743237,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #03-14/15 SINGAPORE 258499","Monday to Friday : 09:00 am to 01:00 pm, 02:00 pm to 06:00 pm"
718,CHAN KM GERIATRIC & MEDICAL CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36710,64747789,64797739,"6 NAPIER ROAD, GLENEAGLES MEDICAL CENTRE, #08-10 SINGAPORE 258499",Public Holiday : Closed | Monday and Wednesday : 09:00 am to 01:00 pm | Tuesday and Friday : 02:00 pm to 05:00 pm | Thursday : 09:00 am to 01:00 pm | Saturday : 09:00 am to 01:00 pm | Sunday : Closed
719,CHAN KM GERIATRIC & MEDICAL CLINIC PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=39812,63335550,62555667,"820 THOMSON ROAD, MOUNT ALVERNIA HOSPITAL MEDICAL CENTRE D, #08-55 SINGAPORE 574623",Public Holiday : Closed | Monday and Thursday : 02:00 pm to 05:00 pm | Tuesday and Friday : 09:00 am to 01:00 pm | Wednesday and Sunday : Closed | Saturday : 09:00 am to 01:00 pm
720,CHAN MEDICAL & ENDOCRINE CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5100,67372245,62356998,"6 NAPIER RD, GLENEAGLES MEDICAL CENTRE, #08-05 SINGAPORE 258499","Monday to Saturday : 08:30 am to 05:30 pm, 08:30 am to 01:00 pm"
721,CHAN MEE FAMILY DENTALCARE PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=36692,67444411,67442053,"15 SIGLAP ROAD, MANDARIN GARDENS, #01-02 SINGAPORE 448912","Monday to Sunday : 09:00 am to 01:00 pm, 02:30 pm to 06:00 pm, 07:00 pm to 10:00 pm"
722,CHAN PLASTIC & COSMETIC SURGERY / C C CHAN SURGERY PTE LTD / C C COSMETIC MEDICINE PTE LTD,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5140,67345653,67342678,"3 MT ELIZABETH, MOUNT ELIZABETH MEDICAL CENTRE, #08-09 SINGAPORE 228510",
723,CHANG CLINIC,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5150,64663811,64670780,"1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-08/09/10 SINGAPORE 588996","Public Holiday : Closed | Eve of Chinese New Year (24/01/2020) : 08:30 am to 11:30 am | Monday to Friday : 08:30 am to 12:30 pm, 02:00 pm to 05:30 pm | Saturday : 08:30 am to 11:30 am | Sunday : Closed"
724,CHANG CLINIC & SURGERY,https://www.hcidirectory.gov.sg/hcidirectory/clinic.do?task=view&toBack=search&pkId=5170,62216955,62216337,"BLK 7 EVERTON PARK, #01-21 SINGAPORE 080007","Eve of Lunar New Year (04/02/2019) : 09:00 am to 12:00 pm, 02:00 pm to 04:00 pm | Monday and Wednesday : 09:00 am to 12:00 pm, 02:00 pm to 04:00 pm | Tuesday and Thursday : 09:00 am to 12:00 pm, 02:00 pm to 04:00 pm, 06:00 pm to 08:00 pm | Friday : 09:00 am to 12:00 pm, 02:00 pm to 04:00 pm | Saturday : 09:00 pm to 12:00 pm | Sunday : Closed"
